@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
454,'2021/02/15 01:50:55:479',19,4,0
455,'2021/02/15 01:50:55:489',19,4,0
456,'2021/02/15 01:50:55:500',19,4,0
457,'2021/02/15 01:50:55:510',19,4,0
458,'2021/02/15 01:50:55:519',19,4,0
459,'2021/02/15 01:50:55:530',19,4,0
460,'2021/02/15 01:50:55:540',19,4,0
461,'2021/02/15 01:50:55:549',19,4,0
462,'2021/02/15 01:50:55:560',19,4,0
463,'2021/02/15 01:50:55:570',19,4,0
464,'2021/02/15 01:50:55:580',19,4,0
465,'2021/02/15 01:50:55:590',19,4,0
466,'2021/02/15 01:50:55:599',19,4,0
467,'2021/02/15 01:50:55:610',19,4,0
468,'2021/02/15 01:50:55:621',19,4,0
469,'2021/02/15 01:50:55:629',19,4,0
470,'2021/02/15 01:50:55:640',19,4,0
471,'2021/02/15 01:50:55:650',19,4,0
472,'2021/02/15 01:50:55:659',19,4,0
473,'2021/02/15 01:50:55:670',19,4,0
474,'2021/02/15 01:50:55:679',19,4,0
475,'2021/02/15 01:50:55:690',19,4,0
476,'2021/02/15 01:50:55:700',19,4,0
477,'2021/02/15 01:50:55:709',19,4,0
478,'2021/02/15 01:50:55:720',19,4,0
479,'2021/02/15 01:50:55:729',19,4,0
480,'2021/02/15 01:50:55:740',19,4,0
481,'2021/02/15 01:50:55:750',19,4,0
482,'2021/02/15 01:50:55:760',19,4,0
483,'2021/02/15 01:50:55:770',19,4,0
484,'2021/02/15 01:50:55:779',19,4,0
485,'2021/02/15 01:50:55:790',19,4,0
486,'2021/02/15 01:50:55:800',19,4,0
487,'2021/02/15 01:50:55:810',19,4,0
488,'2021/02/15 01:50:55:820',19,4,0
489,'2021/02/15 01:50:55:830',19,4,0
490,'2021/02/15 01:50:55:840',19,4,0
491,'2021/02/15 01:50:55:850',19,4,0
492,'2021/02/15 01:50:55:860',19,4,0
493,'2021/02/15 01:50:55:870',19,4,0
494,'2021/02/15 01:50:55:880',19,4,0
495,'2021/02/15 01:50:55:890',19,4,0
496,'2021/02/15 01:50:55:900',19,4,0
497,'2021/02/15 01:50:55:910',19,4,0
498,'2021/02/15 01:50:55:920',19,4,0
499,'2021/02/15 01:50:55:929',19,4,0
500,'2021/02/15 01:50:55:940',19,4,0
501,'2021/02/15 01:50:55:949',19,4,0
502,'2021/02/15 01:50:55:959',19,4,0
503,'2021/02/15 01:50:55:969',19,4,0
504,'2021/02/15 01:50:55:979',19,4,0
505,'2021/02/15 01:50:55:989',19,4,0
506,'2021/02/15 01:50:55:999',19,4,0
